LocationName,FIPS,County,State,Network,Contractor,HasDialysisFacility
"Fairfield, CT",9001,Fairfield,CT,1,IPRO,YES
"Hartford, CT",9003,Hartford,CT,1,IPRO,YES
"Litchfield, CT",9005,Litchfield,CT,1,IPRO,YES
"Middlesex, CT",9007,Middlesex,CT,1,IPRO,YES
"New Haven, CT",9009,New Haven,CT,1,IPRO,YES
"New London, CT",9011,New London,CT,1,IPRO,YES
"Tolland, CT",9013,Tolland,CT,1,IPRO,YES
"Windham, CT",9015,Windham,CT,1,IPRO,YES
"Barnstable, MA",25001,Barnstable,MA,1,IPRO,YES
"Berkshire, MA",25003,Berkshire,MA,1,IPRO,YES
"Bristol, MA",25005,Bristol,MA,1,IPRO,YES
"Dukes, MA",25007,Dukes,MA,1,IPRO,YES
"Essex, MA",25009,Essex,MA,1,IPRO,YES
"Franklin, MA",25011,Franklin,MA,1,IPRO,YES
"Hampden, MA",25013,Hampden,MA,1,IPRO,YES
"Hampshire, MA",25015,Hampshire,MA,1,IPRO,YES
"Middlesex, MA",25017,Middlesex,MA,1,IPRO,YES
"Nantucket, MA",25019,Nantucket,MA,1,IPRO,YES
"Norfolk, MA",25021,Norfolk,MA,1,IPRO,YES
"Plymouth, MA",25023,Plymouth,MA,1,IPRO,YES
"Suffolk, MA",25025,Suffolk,MA,1,IPRO,YES
"Worcester, MA",25027,Worcester,MA,1,IPRO,YES
"Androscoggin, ME",23001,Androscoggin,ME,1,IPRO,YES
"Aroostook, ME",23003,Aroostook,ME,1,IPRO,YES
"Cumberland, ME",23005,Cumberland,ME,1,IPRO,YES
"Franklin, ME",23007,Franklin,ME,1,IPRO,YES
"Hancock, ME",23009,Hancock,ME,1,IPRO,YES
"Kennebec, ME",23011,Kennebec,ME,1,IPRO,YES
"Knox, ME",23013,Knox,ME,1,IPRO,NO
"Lincoln, ME",23015,Lincoln,ME,1,IPRO,YES
"Oxford, ME",23017,Oxford,ME,1,IPRO,NO
"Penobscot, ME",23019,Penobscot,ME,1,IPRO,YES
"Piscataquis, ME",23021,Piscataquis,ME,1,IPRO,NO
"Sagadahoc, ME",23023,Sagadahoc,ME,1,IPRO,YES
"Somerset, ME",23025,Somerset,ME,1,IPRO,YES
"Waldo, ME",23027,Waldo,ME,1,IPRO,YES
"Washington, ME",23029,Washington,ME,1,IPRO,YES
"York, ME",23031,York,ME,1,IPRO,YES
"Belknap, NH",33001,Belknap,NH,1,IPRO,YES
"Carroll, NH",33003,Carroll,NH,1,IPRO,YES
"Cheshire, NH",33005,Cheshire,NH,1,IPRO,YES
"Coos, NH",33007,Coos,NH,1,IPRO,YES
"Grafton, NH",33009,Grafton,NH,1,IPRO,YES
"Hillsborough, NH",33011,Hillsborough,NH,1,IPRO,YES
"Merrimack, NH",33013,Merrimack,NH,1,IPRO,YES
"Rockingham, NH",33015,Rockingham,NH,1,IPRO,YES
